source_id,source_name,country,region_scope,module,source_type,url,tier,notes
CN_FINANCING_001,企查查,China,China,Financing,Database,https://www.qcc.com/,Manual,database signals should be verified with primary/public sources
CN_FINANCING_002,IT桔子,China,China,Financing;Chip_AI_Compute,Database,https://www.itjuzi.com/,S_Core,database signals should be verified with primary/public sources
CN_FINANCING_003,投资界 PEDaily,China,China,Financing;Chip_AI_Compute,Financial_Media,https://news.pedaily.cn/,S_Core,China primary-market funding.
CN_FINANCING_004,深交所 SZSE,China,China,Financing;Chip_AI_Compute,Exchange,https://www.szse.cn/disclosure/,S_Core,"Shenzhen listings, bonds, major transactions."
CN_POLICY_001,中国政府网 gov.cn,China,China,Policy;Chip_AI_Compute,Official,https://www.gov.cn/,S_Core,"State Council policy, press conferences, ministry coordination."
CN_POLICY_002,国家航天局 CNSA,China,China,Policy;Technology,Official,https://www.cnsa.gov.cn/,S_Core,"Official China space wording, mission updates, regulation signals."
CN_POLICY_003,新华社 / Xinhua,China,China,Policy;Technology;Chip_AI_Compute,Official,https://www.news.cn/,S_Core,"Major China missions, policy framing, official English/Chinese wording."
CN_TECH_001,中科宇航 CAS Space,China,China,Technology;Financing,Company,https://www.cas-space.com/,S_Core,"Lijian launches, cadence, sea launch plans, commercial launch."
CN_TECH_002,蓝箭航天 LandSpace,China,China,Technology;Financing,Company,https://www.landspace.com/,S_Core,"Zhuque, Tianque engines, methane and reusable progress."
CN_TECH_003,长光卫星 CGSTL / 吉林一号,China,China,Technology;Financing,Company,https://www.jl1.cn/index.aspx,S_Core,"Jilin-1 constellation, commercial remote sensing, onboard AI, IPO/listing signals."
CN_FINANCING_005,36氪,China,China,Technology;Financing;Chip_AI_Compute,Financial_Media,https://36kr.com/,S_Core,China hard-tech and commercial space funding scoops.
GLOBAL_FINANCING_001,Reuters,Global,Global,Policy;Financing;Chip_AI_Compute,Wire_Service,https://www.reuters.com/,S_Core,subscription required
GLOBAL_FINANCING_002,Company Newsroom / IR,Global,Global,Technology;Financing,Other,N/A,S_Core,original entry had no explicit URL: Company site
US_FINANCING_001,PR Newswire,US,Global,Financing,Wire_Service,https://www.prnewswire.com/,S_Core,original country value normalized from: US/Global
US_FINANCING_002,SEC EDGAR,US,US,Financing,Filing,https://www.sec.gov/edgar/search/,S_Core,"S-1, 8-K, Form D, IPO, M&A, US company financing."
US_FINANCING_003,Crunchbase,US,Global,Financing;Chip_AI_Compute,Database,https://www.crunchbase.com/,S_Core,subscription required; original country value normalized from: US/Global; database signals should be verified with primary/public sources
US_FINANCING_004,CB Insights,US,Global,Financing;Chip_AI_Compute;Market_Background,Database,https://www.cbinsights.com/,S_Core,subscription required; original country value normalized from: US/Global; database signals should be verified with primary/public sources
US_POLICY_001,Federal Register,US,US,Policy,Official,https://www.federalregister.gov/,S_Core,"ANOPR, NPRM, interim and final rules."
US_POLICY_002,GovInfo,US,US,Policy,Official,https://www.govinfo.gov/,S_Core,"Original bill text, Congressional Record, government publications."
US_POLICY_003,BIS,US,US,Policy;Chip_AI_Compute,Official,https://www.bis.doc.gov/,S_Core,"EAR, Entity List, AI/chip export controls, semiconductor rules."
US_POLICY_004,Congress.gov,US,US,Policy;Chip_AI_Compute,Official,https://www.congress.gov/,S_Core,Bill lifecycle and committee activity.
US_POLICY_005,U.S. Department of Commerce,US,US,Policy;Chip_AI_Compute,Official,https://www.commerce.gov/,S_Core,AI/chip/export-control policy entry point; use with BIS and NIST.
US_POLICY_006,White House Briefing Room,US,US,Policy;Chip_AI_Compute,Official,https://www.whitehouse.gov/briefing-room/,S_Core,merged original entries: OSTP
US_POLICY_007,FAA AST,US,US,Policy;Technology,Official,https://www.faa.gov/space,S_Core,"Commercial launch licenses, mishap investigations, launch regulation."
US_POLICY_008,FCC,US,US,Policy;Technology,Official,https://www.fcc.gov/,S_Core,"Spectrum, satellite network authorization, direct-to-device, terminals, space services."
US_POLICY_009,NASA,US,US,Policy;Technology;Financing,Official,https://www.nasa.gov/,S_Core,"ISS, commercial cargo/crew, CLPS, launch services, SBIR, autonomy and compute."
US_POLICY_010,National Reconnaissance Office NRO,US,US,Policy;Technology;Financing,Official,https://www.nro.gov/news-media-featured-stories/,S_Core,Commercial EO/SAR/RF/hyperspectral procurement and intelligence satellite demand.
US_POLICY_011,Space Development Agency SDA,US,US,Policy;Technology;Financing,Official,https://www.sda.mil/news/,S_Core,"PWSA, tracking/transport layers, prototype vendors, optical links."
US_TECH_001,SpaceNews,US,Global,Policy;Technology;Financing,Industry_Media,https://spacenews.com/,S_Core,original country value normalized from: US/Global
US_POLICY_012,U.S. Space Force / SSC Newsroom,US,US,Policy;Technology;Financing,Official,https://www.ssc.spaceforce.mil/Newsroom/,S_Core,"Launch procurement, NSSL, commercial partnerships, PLEO contracts."
US_POLICY_013,DARPA,US,US,Policy;Technology;Financing;Chip_AI_Compute,Official,https://www.darpa.mil/,S_Core,merged original entries: DARPA Microsystems Technology Office
US_TECH_002,NASASpaceflight,US,Global,Technology,Official,https://www.nasaspaceflight.com/,S_Core,verify elsewhere / cross-check with official source; original country value normalized from: US/Global
US_TECH_003,Spaceflight Now,US,Global,Technology,Industry_Media,https://spaceflightnow.com/,S_Core,original country value normalized from: US/Global
US_TECH_004,SpaceX,US,US,Technology,Company,https://www.spacex.com/launches/,S_Core,"Falcon, Starship, Starlink, mission pages; cross-check official social only when necessary."
US_TECH_005,Blue Origin,US,US,Technology;Financing,Company,https://www.blueorigin.com/,S_Core,"New Glenn, New Shepard, reuse milestones, anomalies, defense launch."
US_TECH_006,Payload,US,Global,Technology;Financing,Industry_Media,https://payloadspace.com/,S_Core,original country value normalized from: US/Global
CN_FINANCING_006,企名片,China,China,Financing,Database,https://www.qimingpian.com/,A_Active,database signals should be verified with primary/public sources
CN_FINANCING_007,天眼查,China,China,Financing,Database,https://www.tianyancha.com/,A_Active,database signals should be verified with primary/public sources
CN_FINANCING_008,上交所 SSE,China,China,Financing;Chip_AI_Compute,Exchange,https://www.sse.com.cn/disclosure/,A_Active,"Shanghai listings, restructuring, bonds, hard-tech disclosures."
CN_FINANCING_009,创业邦,China,China,Financing;Chip_AI_Compute,Financial_Media,https://www.cyzone.cn/,A_Active,China startup financing.
CN_FINANCING_010,港交所披露易 HKEXnews,China,Global,Financing;Chip_AI_Compute,Exchange,https://www1.hkexnews.hk/,A_Active,original country value normalized from: China/Global
CN_POLICY_004,国务院新闻办 SCIO,China,China,Policy,Official,http://www.scio.gov.cn/,A_Active,Official transcripts and policy briefings.
CN_CHIP_AI_001,中国信通院 CAICT,China,China,Policy;Chip_AI_Compute;Market_Background,Research_Institute,https://www.caict.ac.cn/,A_Active,useful only when chip / AI compute overlaps with space
CN_CHIP_AI_002,赛迪 CCID,China,China,Policy;Chip_AI_Compute;Market_Background,Research_Institute,https://www.ccidgroup.com/,A_Active,useful only when chip / AI compute overlaps with space
CN_POLICY_005,上海市经信委,China,China,Policy;Financing,Company,https://sheitc.sh.gov.cn/,A_Active,"Shanghai commercial space, Qianfan/G60 ecosystem, capital matching policy."
CN_POLICY_006,国家发改委 NDRC,China,China,Policy;Financing;Chip_AI_Compute,Official,https://www.ndrc.gov.cn/,A_Active,"Private investment, major projects, infrastructure, industrial funds."
CN_FINANCING_011,财新网,China,China,Policy;Financing;Chip_AI_Compute,Financial_Media,https://www.caixin.com/,A_Active,subscription required
CN_FINANCING_012,财联社,China,China,Policy;Financing;Chip_AI_Compute,Financial_Media,https://www.cls.cn/,A_Active,China fast market and financing news.
CN_TECH_004,中新网,China,China,Policy;Technology,Industry_Media,https://www.chinanews.com.cn/,A_Active,Chinese commercial space interviews and mission context.
CN_POLICY_007,国防科工局 SASTIND,China,China,Policy;Technology,Official,https://www.sastind.gov.cn/,A_Active,"Aerospace industrial system, civil-military integration, industry management."
CN_POLICY_008,海南省政府 / 文昌,China,China,Policy;Technology,Company,https://www.hainan.gov.cn/,A_Active,Commercial launch site and spaceport policy.
CN_POLICY_009,北京市经信局,China,China,Policy;Technology;Chip_AI_Compute,Company,https://jxj.beijing.gov.cn/,A_Active,"Beijing commercial rockets, satellite applications, AI+space policy."
CN_POLICY_010,工信部 MIIT,China,China,Policy;Technology;Chip_AI_Compute,Official,https://www.miit.gov.cn/,A_Active,"Satellite internet, AI industry, intelligent manufacturing, compute infrastructure."
CN_TECH_005,科技日报,China,China,Policy;Technology;Chip_AI_Compute,Industry_Media,https://www.stdaily.com/,A_Active,China technology and space mission coverage.
CN_POLICY_011,中国星网 / China SatNet public signals,China,China,Policy;Technology;Financing,Company,https://www.sasac.gov.cn/,A_Active,"No stable public newsroom. Track SASAC, Xiongan, procurement, Qichacha, and official mentions."
CN_TECH_006,东方空间 Orienspace,China,China,Technology;Financing,Company,https://www.orienspace.com/,A_Active,Gravity launch vehicles and sea launch capability.
CN_FINANCING_013,中科星图 GEOVIS,China,China,Technology;Financing,Filing,https://www.geovis.com.cn/,A_Active,"Space information, digital earth, remote sensing AI, satellite data platforms."
CN_TECH_007,天仪研究院 Spacety,China,China,Technology;Financing,Company,http://www.spacety.com/,A_Active,"Small satellites, commercial SAR, constellation missions, IPO signals."
CN_TECH_008,天兵科技 Space Pioneer,China,China,Technology;Financing,Company,https://www.spacepioneer.com.cn/,A_Active,"Tianlong, liquid rockets, vertical landing tests."
CN_TECH_009,微纳星空 MinoSpace,China,China,Technology;Financing,Company,https://www.minospace.com/,A_Active,"Small satellite platforms, manufacturing, constellation support."
CN_TECH_010,时空道宇 Geespace,China,China,Technology;Financing,Company,https://www.geespace.com/news/,A_Active,"Mobility constellation, vehicle-linked satellite services, satellite-phone crossover."
CN_TECH_011,星河动力 Galactic Energy,China,China,Technology;Financing,Company,https://www.galactic-energy.cn/,A_Active,"Ceres, Pallas, Chinese commercial launch cadence."
CN_TECH_012,深蓝航天 Deep Blue Aerospace,China,China,Technology;Financing,Company,https://www.deepblueaero.com/,A_Active,Nebula tests and reusable architecture.
CN_TECH_013,银河航天 GalaxySpace,China,China,Technology;Financing,Company,https://www.galaxy-space.com/,A_Active,"LEO broadband satellites, terminals, payloads, manufacturing."
CN_TECH_014,国星宇航 ADA Space,China,China,Technology;Financing;Chip_AI_Compute,Company,https://www.adaspace.com/,A_Active,"AI satellites, space compute demonstrations, satellite data applications, financing."
